role,name,team
student,R-Ramana,CS2113-T13-1
student,Nazryl,CS2113-T13-1
student,Chongjx,CS2113-T13-1
student,prachi2023,CS2113-T13-1
student,brandonywl,CS2113-T13-1
student,scjx123,CS2113-T13-2
student,johanesrafael,CS2113-T13-2
student,chuhann,CS2113-T13-2
student,adinata15,CS2113-T13-2
student,TomLBZ,CS2113-T13-2
student,yeapcl,CS2113-T13-3
student,weisiong24,CS2113-T13-3
student,manuelmanuntag96,CS2113-T13-3
student,tammykoh,CS2113-T13-3
student,yellow-fellow,CS2113-T13-3
student,acyang97,CS2113-T13-4
student,teachyourselfcoding,CS2113-T13-4
student,sunxiuqi-stacked,CS2113-T13-4
student,haroic1997,CS2113-T13-4
student,t170815518,CS2113-T13-4
student,zongxian-ctrl,CS2113-T14-1
student,leonlowzd,CS2113-T14-1
student,TanLeeWei,CS2113-T14-1
student,Ang-Cheng-Jun,CS2113-T14-1
student,fanceso,CS2113-T14-1
student,alwaysnacy,CS2113-T14-2
student,LiewWS,CS2113-T14-2
student,kaijiel24,CS2113-T14-2
student,zhixiangteoh,CS2113-T14-2
student,wangwaynesg,CS2113-T14-2
student,GuoAi,CS2113-T14-3
student,MuhammadHoze,CS2113-T14-3
student,yh-ng,CS2113-T14-3
student,Cao-Zeyu,CS2113-T14-3
student,iamchenjiajun,CS2113-T14-3
student,mxksowie,CS2113-T14-4
student,snowbanana12345,CS2113-T14-4
student,tikimonarch,CS2113-T14-4
student,HengFuYuen,CS2113-T14-4
student,yuqiaoluolong,CS2113-T14-4
student,bqxy,CS2113-T16-1
student,kaiwen98,CS2113-T16-1
student,dixoncwc,CS2113-T16-1
student,Artemis-Hunt,CS2113-T16-1
student,Feudalord,CS2113-T16-1
student,AnnanWangDaniel,CS2113-T16-2
student,WYing333,CS2113-T16-2
student,Louis-Feng,CS2113-T16-2
student,xX-Conan-Xx,CS2113-T16-2
student,wly99,CS2113-T16-3
student,trolommonm,CS2113-T16-3
student,shaojingle,CS2113-T16-3
student,yokemin,CS2113-T16-3
student,JunxianAng,CS2113-T16-3
student,TanJunHong,CS2113-T16-4
student,GoldenCorgi,CS2113-T16-4
student,kiathwe97,CS2113-T16-4
student,randynyl,CS2113-T16-4
student,ychong032,CS2113-T16-4
student,zsk612,CS2113T-F11-1
student,yujinyang1998,CS2113T-F11-1
student,CFZeon,CS2113T-F11-1
student,tienkhoa16,CS2113T-F11-1
student,wgzesg,CS2113T-F11-1
student,zhangcaicai123,CS2113T-F11-2
student,JinYixuan-Au,CS2113T-F11-2
student,ZhongNingmou,CS2113T-F11-2
student,jessicazhang617,CS2113T-F11-2
student,gy716,CS2113T-F11-2
student,Zhu-Ze-Yu,CS2113T-F11-3
student,Darticune,CS2113T-F11-3
student,gua-guargia,CS2113T-F11-3
student,neojiaern,CS2113T-F11-3
student,Jane-Ng,CS2113T-F11-3
student,homingjun,CS2113T-F11-4
student,keke101,CS2113T-F11-4
student,chocomango,CS2113T-F11-4
student,e0426051,CS2113T-F11-4
student,gmit22,CS2113T-F11-4
student,Khenus,CS2113T-F12-1
student,harryleecp,CS2113T-F12-1
student,JuZihao,CS2113T-F12-1
student,jerroldlam,CS2113T-F12-1
student,vanessa-kang,CS2113T-F12-1
student,michaeldinata,CS2113T-F12-2
student,ChanJianHao,CS2113T-F12-2
student,OngDeZhi,CS2113T-F12-2
student,n3wsoldier,CS2113T-F12-2
student,EyoWeiChin,CS2113T-F12-2
student,kstonekuan,CS2113T-F12-3
student,josephhhhhhhhh,CS2113T-F12-3
student,Zhi-You,CS2113T-F12-3
student,anqi20,CS2113T-F12-3
student,joelngyx,CS2113T-F12-3
student,kerct,CS2113T-F12-4
student,KennethEer,CS2113T-F12-4
student,lhydl,CS2113T-F12-4
student,limgl1998,CS2113T-F12-4
student,DesmondKJL,CS2113T-F12-4
student,WangZixin67,CS2113T-F14-1
student,JohnNub,CS2113T-F14-1
student,yeyutong811,CS2113T-F14-1
student,Varsha3006,CS2113T-F14-1
student,k-walter,CS2113T-F14-2
student,killingbear999,CS2113T-F14-2
student,xieyaoyue,CS2113T-F14-2
student,pinfang,CS2113T-F14-2
student,Wu-Haitao,CS2113T-F14-2
student,mrwsy1,CS2113T-F14-3
student,EthanWong2212,CS2113T-F14-3
student,Lezn0,CS2113T-F14-3
student,wamikamalik,CS2113T-F14-3
student,Johnson-Yee,CS2113T-F14-3
student,madbeez,CS2113T-F14-4
student,xuche123,CS2113T-F14-4
student,Lee-Juntong,CS2113T-F14-4
student,jiaaaqi,CS2113T-F14-4
student,max-wunan,CS2113T-F14-4
student,riazaham,CS2113T-T09-1
student,thatseant,CS2113T-T09-1
student,samuelchristopher,CS2113T-T09-1
student,samuellleow,CS2113T-T09-1
student,shreytheshreyas,CS2113T-T09-1
student,wangqinNick,CS2113T-T09-2
student,Aseanseen,CS2113T-T09-2
student,f0fz,CS2113T-T09-2
student,tobiasceg,CS2113T-T09-2
student,amalinasani,CS2113T-T09-2
student,yuen-sihao,CS2113T-T09-3
student,nat-ho,CS2113T-T09-3
student,dozenmatter,CS2113T-T09-3
student,chloesyy,CS2113T-T09-3
student,lunzard,CS2113T-T09-3
student,1-Karthigeyan-1,CS2113T-T09-4
student,chewyang,CS2113T-T09-4
student,jlifah,CS2113T-T09-4
student,e0425705,CS2113T-T09-4
student,poonchuanan,CS2113T-T09-4
student,luziyi9898,CS2113T-T12-1
student,slightlyharp,CS2113T-T12-1
student,farice9,CS2113T-T12-1
student,hailqueenflo,CS2113T-T12-1
student,lingsihui,CS2113T-T12-1
student,JiawenLyu,CS2113T-T12-2
student,Zhangyilin0203,CS2113T-T12-2
student,Jingming517,CS2113T-T12-2
student,LIU-YiFeng-1,CS2113T-T12-2
student,imhm,CS2113T-T12-2
student,yAOwzers,CS2113T-T12-3
student,longngng,CS2113T-T12-3
student,neilbaner,CS2113T-T12-3
student,Lusi711,CS2113T-T12-3
student,chuckiex3,CS2113T-T12-3
student,Colin386,CS2113T-T12-4
student,marcursor,CS2113T-T12-4
student,Reinbowl,CS2113T-T12-4
student,ninggggx99,CS2113T-T12-4
student,matthewgani,CS2113T-T12-4
student,TYS0n1,CS2113T-W11-1
student,fchensan,CS2113T-W11-1
student,jusufnathanael,CS2113T-W11-1
student,xingrong123,CS2113T-W11-1
student,Speedweener,CS2113T-W11-1
student,ShawnTanzc,CS2113T-W11-2
student,tengkianen,CS2113T-W11-2
student,felixhalim,CS2113T-W11-2
student,ivanderjmw,CS2113T-W11-2
student,weishuangtan,CS2113T-W11-2
student,theopin,CS2113T-W11-3
student,brandontoh,CS2113T-W11-3
student,domaxi,CS2113T-W11-3
student,adhy-p,CS2113T-W11-3
student,abnermtj,CS2113T-W11-3
student,thngyuxuan,CS2113T-W11-4
student,Promethees,CS2113T-W11-4
student,hungvo0603,CS2113T-W11-4
student,0xZ3RO,CS2113T-W11-4
student,AmeliaTYR,CS2113T-W11-4
student,QX-CHEN,CS2113T-W12-1
student,e0406981,CS2113T-W12-1
student,mhchan163,CS2113T-W12-1
student,czlin98,CS2113T-W12-1
student,arindamshivatrip,CS2113T-W12-1
student,daniellimws,CS2113T-W12-2
student,Kafcis,CS2113T-W12-2
student,wish2023,CS2113T-W12-2
student,alstontham,CS2113T-W12-2
student,amanda-chua,CS2113T-W12-2
student,jazhten,CS2113T-W12-3
student,judowha,CS2113T-W12-3
student,BenardoTang,CS2113T-W12-3
student,Bryanbeh1998,CS2113T-W12-3
student,shikai-zhou,CS2113T-W12-3
student,untitle4,CS2113T-W12-4
student,AndreWongZH,CS2113T-W12-4
student,durianpancakes,CS2113T-W12-4
student,elizabethcwt,CS2113T-W12-4
student,AliciaHo,CS2113T-W12-4
student,rashien3,CS2113T-W13-1
student,sugandha929,CS2113T-W13-1
student,CookieHoodie,CS2113T-W13-1
student,syncode98,CS2113T-W13-1
student,jialerk,CS2113T-W13-1
student,dmbclub,CS2113T-W13-2
student,sixletters,CS2113T-W13-2
student,gohsonghan98,CS2113T-W13-2
student,jerichochua,CS2113T-W13-2
student,hui444,CS2113T-W13-2
student,hughjazzman,CS2113T-W13-3
student,dorianfong98,CS2113T-W13-3
student,PraveenElango,CS2113T-W13-3
student,oasisbeatle,CS2113T-W13-3
student,sevenseasofbri,CS2113T-W13-3
student,skyaxe97,CS2113T-W13-4
student,dojh111,CS2113T-W13-4
student,EdmundEXE,CS2113T-W13-4
student,daniellimzj,CS2113T-W13-4
student,johan9se,CS2113T-W13-4
student,okkhoy,Instructors
